Title,Link,Description
광주·화순 너릿재터널 차량 3대 연쇄 추돌…출근길 교통 정체,https://n.news.naver.com/mnews/article/016/0002079828?sid=102,전남 화순군을 잇는 도로의 신너릿재 터널 안에서 차량 3대가 잇따라 부딪히는 사고가 발생했다. 차량 연쇄 추돌사고로 출근길 도로가 다소 정체 현상을 빚었지만 인명피해는 발생하지 않은 것으로 파악됐다. 경찰은... 
광주-화순 너릿재터널 빙판길 차량 3대 연쇄 추돌,https://n.news.naver.com/mnews/article/001/0013648952?sid=102,"전남 화순군을 잇는 도로의 신너릿재 터널 안에서 차량 3대가 잇따라 부딪히는 사고가 발생했다. 눈과 비가 얼면서 차량이 미끄러진 것으로 보이며, 심각한 인명피해는 발생하지 않은 것으로 알려졌다. 신고를 받은 경찰... "
전남경찰 &apos;태양광 사기단&apos; 검거..13명 구속,https://mpmbc.co.kr/article/Y7eT6dFfnSCpP7,전남경찰청은 농민들을 상대로 태양광발전시설 설치 사기행각을 벌인 31명을 붙잡아 이가운데 13명을 구속했습니다. 이들은 지난 2020년부터 고령의 농민들에게 접근해 태양광발전시설로 고소득이 보장된다고 속인 뒤... 
"국립 순천대-전라남도자치경찰위원회, &apos;연구·학술교류&apos; 업무협약",https://www.newsway.co.kr/news/view?tp=1&ud=2022121820131613799,"이날 대학본부에서 열린 협약식에 순천대는 고영진 총장, 인공지능공학부 신창선 교수, 지능기술연구소 김용규, 김광심 교수가 참석했고, 전남자치경찰위원회에서는 조만형 위원장, 백혜웅 사무국장, 박송희... "
[농민칼럼] 2022년을 살아낸 농촌은 지금,http://www.ikpnews.net/news/articleView.html?idxno=49379,정영이(전남 구례) 어느 해인들 곡절 없이 여유로웠던 세월이 있었을까만 2022년 한 해는 자다가도 벌떡... 백남기 농민이 돌아가시고 부검을 하겠다는 정부와 경찰에 맞서 서울대병원 장례식장을 사수했던 하루하루는... 
대설주의보 광주시 전 직원 눈치우기 활동…&quot;오전 10시까지 출근&quot;,https://n.news.naver.com/mnews/article/421/0006525995?sid=102,"앞서 전날 광주시는 5개 구청과 소방본부, 경찰청 등과 함께 긴급 제설을 위한 관계기관 회의를 진행... 한편 광주와 전남지역 19일 오전 6시 기준 적설량은 영광군 18.4㎝, 무안 해제 17.9㎝, 신안 압해 16.8㎝, 함평 월야 15.... "
[오늘의 주요 일정] &apos;사법행정권 남용&apos; 임종헌 전 법원행정처 차장 공판,http://www.safetimes.co.kr/news/articleView.html?idxno=116915,"행안부, 경찰 조직·인사 제도 개선방안 브리핑(10:00 정부서울청사 별관) ▲ 행안부, 공기업정책위원회... 김영록 전남지사 11:10 전남행복지역화폐 광역플랫폼 구축 업무협약(VIP실) 14:00 전라남도 정책자문위원... "
화물연대의 백기 투항 이끌어낸 원희룡 국토교통부 장관 | “이제 시작… 5년...,http://monthly.chosun.com/client/news/viw.asp?ctcd=E&nNewsNumb=202301100016,"2일, 전남 광양시 광양항에 반출 안 된 컨테이너들이 쌓여 있다. 화물연대가 집단적으로 운송을 거부한 16일... “이번에 새총을 쏘고, 차량을 검문·검색하고, 사진을 찍는 행태에 대해 경찰이 강하게 대응했어요.... "
찻길·뱃길·하늘길 ‘꽁꽁’… 전국 곳곳 동파·교통사고 속출,https://n.news.naver.com/mnews/article/022/0003765686?sid=102,대설·한파 피해 잇따라 제주공항 470편 중 6편만 정상 운항 18일 오전 기준 최대 30㎝가량 눈 전남·전북 등... 경찰 등에 따르면 서울 수서경찰서는 40대 버스기사 A씨를 교통사고처리특례법상 과실치사 혐의로 입건해... 
농민 등친 태양광 사기단 &apos;덜미&apos;,http://www.pinpointnews.co.kr/news/articleView.html?idxno=162644,전남경찰청 표지석. 사진=전남경찰청 태양광 발전시설 설치 계약금 명목으로 전국의 농민에게 거액을 가로챈 사기단이 잡혔다. 전남경찰청 반부패·경제범죄수사1대는 전날 A씨 등 13명을 특정경제범죄가중처벌법상... 
